Total_MRR,Total_Seats,Total_Logins,Average_ActiveUsers,Total_APICalls,Total_SessionMinutes,Ticket_Count,Average_ResolutionHours,Average_Satisfaction,Tenure_Months,Revenue_Per_Seat,Tickets_Per_Month
1.0,0.14672524058292744,0.03520651621037223,0.06842330766029373,-0.05513373380939708,-0.0037333910865030703,0.05200710356092239,0.009097364066831906,-0.04359944811799822,-0.03149021110740659,0.7432282716265167,0.06349982021541511
0.14672524058292744,1.0,-0.02703815743770963,-0.03315933365022851,-0.003165892524731009,-0.025717480064070826,0.0034966567642317624,0.11470674390166706,-0.014607564710340784,-0.012143018185707599,-0.24459304065289392,0.034363268867243786
0.03520651621037223,-0.02703815743770963,1.0,0.6101741902903361,0.6937642810806433,0.7460980439334127,0.08401250405674146,-0.06578069891800747,0.07410143394319257,0.6351901644334097,0.02981088800195808,-0.22490198270211817
0.06842330766029373,-0.03315933365022851,0.6101741902903361,1.0,0.1684573096435165,0.17056751554506142,0.04745316242487066,-0.11621914579069977,0.1460300226876086,0.0423219722477145,0.09592225635833819,0.007868163862172699
-0.05513373380939708,-0.003165892524731009,0.6937642810806433,0.1684573096435165,1.0,0.8979305884400346,0.10666930701571833,-0.02135214897237504,-0.006813553349653167,0.7628889331962111,-0.05685769265100769,-0.2626372280317512
-0.0037333910865030703,-0.025717480064070826,0.7460980439334127,0.17056751554506142,0.8979305884400346,1.0,0.06323606540914299,-0.04512136700821123,-0.006087788939460121,0.829880216768552,-0.012489912216572974,-0.31919728814242
0.05200710356092239,0.0034966567642317624,0.08401250405674146,0.04745316242487066,0.10666930701571833,0.06323606540914299,1.0,0.03863315866579085,0.03525796942890039,0.07075654130540289,0.023104638562464263,0.8547984088367023
0.009097364066831906,0.11470674390166706,-0.06578069891800747,-0.11621914579069977,-0.02135214897237504,-0.04512136700821123,0.03863315866579085,1.0,-0.40941793259494513,-0.06081766890247551,-0.05565118369408119,0.04877264065911178
-0.04359944811799822,-0.014607564710340784,0.07410143394319257,0.1460300226876086,-0.006813553349653167,-0.006087788939460121,0.03525796942890039,-0.40941793259494513,1.0,-0.005008994413222495,0.009730331988132416,0.03981192974584465
-0.03149021110740659,-0.012143018185707599,0.6351901644334097,0.0423219722477145,0.7628889331962111,0.829880216768552,0.07075654130540289,-0.06081766890247551,-0.005008994413222495,1.0,-0.001590956839232217,-0.3889160305388361
0.7432282716265167,-0.24459304065289392,0.02981088800195808,0.09592225635833819,-0.05685769265100769,-0.012489912216572974,0.023104638562464263,-0.05565118369408119,0.009730331988132416,-0.001590956839232217,1.0,0.01571926442341556
0.06349982021541511,0.034363268867243786,-0.22490198270211817,0.007868163862172699,-0.2626372280317512,-0.31919728814242,0.8547984088367023,0.04877264065911178,0.03981192974584465,-0.3889160305388361,0.01571926442341556,1.0
